Project_ID,Budget,Material_Cost,Labor_Cost,Equipment_Cost,Total_Expense,Budget_Overrun
P0536,26794875,6579207,4893627,221622,11694456,No
P0537,28396362,9578072,7390628,4316601,21285301,No
P0538,22131942,4706306,5860232,4964697,15531235,No
P0539,27553222,7623673,1927397,2882726,12433796,No
P0540,31814475,7725195,4391930,2744325,14861450,No
P0541,12056234,8128346,6655980,809229,15593555,Yes
P0542,44249556,6297794,4498807,633191,11429792,No
P0543,24474327,3382485,416015,1985078,5783578,No
P0544,36641596,4632980,1462771,4014079,10109830,No
P0545,41969083,4820309,3120630,4065331,12006270,No
P0546,17638279,7788664,872407,4832537,13493608,No
P0547,29433811,6197994,5945302,2584746,14728042,No
P0548,27078874,2144674,6167293,4833612,13145579,No
P0549,35055112,6470031,4464183,120229,11054443,No
P0550,7615819,1473395,7241728,3316751,12031874,Yes
P0551,6613746,9551211,343881,2715771,12610863,Yes
P0552,32925326,8330767,1958549,3362918,13652234,No
P0553,24765449,2632966,2428100,3390288,8451354,No
P0554,19246472,938278,6610819,123458,7672555,No
P0555,23720802,8719503,6208814,3657752,18586069,No
P0556,10740241,912332,5326405,4256234,10494971,No
P0557,25882094,2138790,7554595,2681692,12375077,No
P0558,25944548,1966783,7159957,3167908,12294648,No
P0559,48521841,8853899,5917950,1952057,16723906,No
P0560,19075358,8471843,404776,1769514,10646133,No
P0561,25117993,6844186,2732588,1485501,11062275,No
P0562,13132568,8372916,7706747,377027,16456690,Yes
P0563,5155397,3559312,7517069,1455560,12531941,Yes
P0564,31605851,1963914,2543160,380529,4887603,No
P0565,19631342,6116781,1413063,4904488,12434332,No
P0566,8240262,3106699,3968294,2243557,9318550,Yes
P0567,11042534,599167,2898336,2899629,6397132,No
P0568,47026278,1415174,5184426,3352270,9951870,No
P0569,19761035,9558069,5059930,1508204,16126203,No
P0570,14819367,7539096,2464084,2094870,12098050,No
P0571,37412110,3214102,2211521,902233,6327856,No
P0572,16986400,5163551,5953806,3471599,14588956,No
P0573,24267008,5368873,1571193,4285840,11225906,No
P0574,10684701,5681729,5603591,4466914,15752234,Yes
P0575,39607856,1622754,7435019,1786561,10844334,No
P0576,5903330,4356073,3208124,3430906,10995103,Yes
P0577,19522827,798428,1485399,3294810,5578637,No
P0578,40780473,5005828,4209361,354457,9569646,No
P0579,9649095,5997500,7515838,4927958,18441296,Yes
P0580,37121547,8493854,758019,4572884,13824757,No
P0581,12775577,9658866,3432447,3971740,17063053,Yes
P0582,11458361,9848902,5376332,111998,15337232,Yes
P0583,34100875,8250137,6395329,235638,14881104,No
P0584,33179975,1024420,3121499,3260807,7406726,No
P0585,7490940,8952923,331902,3839202,13124027,Yes
P0586,42880714,7688873,6708083,4783020,19179976,No
P0587,46156638,2935032,6870217,3551547,13356796,No
P0588,28409553,4059039,5772771,3068687,12900497,No
P0589,12311019,8482603,5942911,567496,14993010,Yes
P0590,42688753,4237691,5327053,3879185,13443929,No
P0591,5961996,4676844,4395333,3574247,12646424,Yes
P0592,39523649,7276585,4875442,3856378,16008405,No
P0593,15828607,7740545,6692282,2507090,16939917,Yes
P0594,16391032,8614365,5366348,3551204,17531917,Yes
P0595,41653348,1422243,1682703,533380,3638326,No
P0596,30012897,6235105,7614515,4891937,18741557,No
P0597,47851821,1267782,684470,1126134,3078386,No
P0598,48670892,9179382,1833941,260604,11273927,No
P0599,15529771,872519,5684295,4324292,10881106,No
P0600,42541839,4751592,7269688,4771570,16792850,No
P0601,43769938,2230992,7951148,4606106,14788246,No
P0602,13844779,1172554,7309219,694750,9176523,No
P0603,17878690,5143002,2118198,254920,7516120,No
P0604,36037928,5168104,5418053,2300787,12886944,No
P0605,39112339,705786,2005033,4775625,7486444,No
P0606,24013586,8969275,7199961,4380569,20549805,No
P0607,44981406,9051629,6006111,4799536,19857276,No
P0608,27685684,4538655,1278459,440057,6257171,No
P0609,40631087,4664605,703336,1916946,7284887,No
P0610,6057293,7510978,3353658,858277,11722913,Yes
P0611,41682662,6055402,2036625,1170073,9262100,No
P0612,38221697,1162156,7807316,4093803,13063275,No
P0613,27709091,1228987,4584128,3235208,9048323,No
P0614,29053049,4119913,6236409,4661800,15018122,No
P0615,43775038,5407440,3822776,1276143,10506359,No
P0616,22914969,3965411,2241013,2729018,8935442,No
P0617,48920312,8829729,6381185,3017541,18228455,No
P0618,7850071,6718349,2726515,2994254,12439118,Yes
P0619,42631617,3641428,6668512,1496232,11806172,No
P0620,29545514,8465652,3755031,2663427,14884110,No
P0621,28475854,2996708,2149977,857923,6004608,No
P0622,25892746,877827,7849881,110734,8838442,No
P0623,25452420,1416538,5489427,347244,7253209,No
P0624,47485724,3165569,6114780,4677678,13958027,No
P0625,28524565,5035915,2757557,3482915,11276387,No
P0626,27913360,1764239,4331855,4198844,10294938,No
P0627,27464457,5461572,3267614,4531550,13260736,No
P0628,6720989,6541033,2176109,498899,9216041,Yes
P0629,19561764,1076754,722666,4187636,5987056,No
P0630,22047498,2039495,4722392,3315079,10076966,No
P0631,12256918,9789054,2460933,3061184,15311171,Yes
P0632,15985823,9140203,7504490,2851650,19496343,Yes
P0633,41967024,2867365,4453240,1527678,8848283,No
P0634,23172532,3426680,6596006,1738107,11760793,No
P0635,10361577,7566003,7090376,2221820,16878199,Yes
P0636,25857862,9144762,977006,4845588,14967356,No
P0637,21097736,5818922,6453936,960802,13233660,No
P0638,7076270,9420903,2518682,4836207,16775792,Yes
P0639,20556458,7080848,2059679,2496696,11637223,No
P0640,35900440,2708895,3636781,110224,6455900,No
P0641,10464790,5115989,6014050,1176669,12306708,Yes
P0642,37234993,6508331,7271712,343325,14123368,No
P0643,30948600,2643550,7662163,2629812,12935525,No
P0644,29452157,1337447,5599740,3465675,10402862,No
P0645,16624583,6398399,547235,1336416,8282050,No
P0646,5462530,6167942,2419806,3936860,12524608,Yes
P0647,41077724,3801467,1885584,4884403,10571454,No
P0648,49879440,4283663,2688428,1083982,8056073,No
P0649,43644327,8525892,3654601,1145144,13325637,No
P0650,17262646,4550922,2365620,822589,7739131,No
P0651,44679829,4534930,2255275,937423,7727628,No
P0652,13217080,6298221,1184627,3654954,11137802,No
P0653,27394185,1489809,5893751,221366,7604926,No
P0654,5374962,7462199,6809682,2352953,16624834,Yes
P0655,42711515,1633928,7316915,1305706,10256549,No
P0656,24753337,974511,2768417,1765137,5508065,No
P0657,9359430,5304479,7721011,299793,13325283,Yes
P0658,10384560,2071064,3807283,3754063,9632410,No
P0659,6688874,7734532,6598861,4348306,18681699,Yes
P0660,27402592,8221124,4902658,974526,14098308,No
P0661,41168887,8617123,5351025,1532335,15500483,No
P0662,27855137,2566771,5834778,3294842,11696391,No
P0663,6123729,4622145,7420056,2298924,14341125,Yes
P0664,35667185,9340828,1212733,2802621,13356182,No
P0665,39538790,6699731,624983,3235831,10560545,No
P0666,33745645,932309,2010352,2771118,5713779,No
P0667,17370709,2584355,5052015,1454809,9091179,No
P0668,33817486,6155697,3756739,3172808,13085244,No
P0669,40828043,7245912,5644130,4812776,17702818,No
P0670,17836706,1484086,7106896,860477,9451459,No
P0671,23714578,1070745,1582264,1866388,4519397,No
P0672,39323804,880776,5241701,1247111,7369588,No
P0673,30552867,3994188,1697073,128398,5819659,No
P0674,42007794,7759316,4226818,4748248,16734382,No
P0675,24684262,929195,7338590,503350,8771135,No
P0676,28050911,4054963,6737205,1851472,12643640,No
P0677,22824640,9179902,2884314,2042584,14106800,No
P0678,46195935,8374965,7783593,1648226,17806784,No
P0679,26519468,3221220,4786159,4498081,12505460,No
P0680,26093556,8381236,5150880,326353,13858469,No
P0681,41033404,1575584,3664189,248114,5487887,No
P0682,28529716,5207391,617110,3977080,9801581,No
P0683,14440287,1681953,6294291,4704201,12680445,No
P0684,43396449,3879123,1999417,3231760,9110300,No
P0685,33100654,5449982,770554,1897780,8118316,No
P0686,27294992,6921795,5297553,3498583,15717931,No
P0687,6817042,5258950,3729388,2856050,11844388,Yes
P0688,24732301,6377705,7639336,1851462,15868503,No
P0689,29816355,9785464,4420336,179238,14385038,No
P0690,12475956,5029676,1792285,3927136,10749097,No
P0691,17874208,8349044,5753447,4224741,18327232,Yes
P0692,30753750,4607359,1762394,4461384,10831137,No
P0693,17300337,1966277,1107248,1631521,4705046,No
P0694,38538041,609900,7819035,4273109,12702044,No
P0695,45284147,7385756,2639691,1614330,11639777,No
P0696,47108881,4900814,5030543,4184353,14115710,No
P0697,39845208,2429615,3615085,4498416,10543116,No
P0698,21986881,5093639,6405869,1407402,12906910,No
P0699,49316083,3839291,1748119,3232154,8819564,No
P0700,38618021,3647061,6901177,2429122,12977360,No
P0701,40875154,4535333,5589427,2595748,12720508,No
P0702,13032716,4937940,536393,3195117,8669450,No
P0703,10626760,9484548,3251681,115970,12852199,Yes
P0704,30054297,2629037,6710777,3934971,13274785,No
P0705,12009347,2410950,430254,3256495,6097699,No
P0706,40541434,9771831,2201493,2331863,14305187,No
P0707,44913336,7092688,3946491,4180593,15219772,No
P0708,23007076,1642984,1709744,2471046,5823774,No
P0709,25057807,957355,854788,720425,2532568,No
P0710,28995275,2478484,4572080,1822455,8873019,No
P0711,41535426,3205567,676489,3740829,7622885,No
P0712,17344820,4209602,5648735,764285,10622622,No
P0713,13750945,2747542,7532277,2309812,12589631,No
P0714,39999656,9515467,3360325,3883330,16759122,No
P0715,48985869,3892835,3567736,2779725,10240296,No
P0716,9398835,948268,5045938,3518434,9512640,Yes
P0717,45173602,1087926,791701,3647432,5527059,No
P0718,28461922,5882756,5176303,4283738,15342797,No
P0719,27341347,5134046,5897617,2212745,13244408,No
P0720,42641301,3093485,650857,3434254,7178596,No
P0721,29707821,5154773,3178203,1279894,9612870,No
P0722,43319016,6931404,3091761,2742901,12766066,No
P0723,15814937,6278463,2368570,4271056,12918089,No
P0724,46452314,8689870,5583974,2141342,16415186,No
P0725,38931307,4057487,2544624,620423,7222534,No
P0726,48168023,6555933,5322348,998555,12876836,No
P0727,7156208,6834121,4762999,1832465,13429585,Yes
P0728,47221057,6846795,3342534,949609,11138938,No
P0729,40475435,6893186,5783621,4463116,17139923,No
P0730,23216461,7856541,7198472,192669,15247682,No
P0731,20994727,8373705,2042069,3275870,13691644,No
P0732,14749398,9633915,7689568,4771400,22094883,Yes
P0733,22283167,8440666,2094389,1974298,12509353,No
P0734,34730284,6766506,4269207,640624,11676337,No
P0735,32781478,1089423,7982786,773364,9845573,No
P0736,38859377,5692853,5342611,1988318,13023782,No
P0737,38506485,901634,1428970,1031874,3362478,No
P0738,16888131,3260471,6907435,1098845,11266751,No
P0739,35389833,2207415,2340945,2838381,7386741,No
P0740,31464569,6211740,1192254,2897545,10301539,No
P0741,46064536,5023483,1094323,4317023,10434829,No
P0742,26444405,1652946,3144563,154156,4951665,No
P0743,35711717,1014419,1057182,2676531,4748132,No
P0744,42881439,2488946,4531000,3915099,10935045,No
P0745,23630717,9908288,4549577,2810128,17267993,No
P0746,5928955,4501512,5303901,3372179,13177592,Yes
P0747,43266903,8191481,7238361,2427450,17857292,No
P0748,42409700,6178518,2103096,2061208,10342822,No
P0749,29240119,911094,5319452,2716144,8946690,No
P0750,18772393,5743594,4871235,863185,11478014,No
P0751,48311421,2534418,3707447,4448347,10690212,No
P0752,24701414,9729959,2814743,949685,13494387,No
P0753,39703595,3572404,1414187,2951049,7937640,No
P0754,6780844,7736103,7555530,2549452,17841085,Yes
P0755,18389403,8160779,6624624,4339267,19124670,Yes
P0756,23173676,5111899,6654159,2422054,14188112,No
P0757,31839395,9930484,7009053,4287051,21226588,No
P0758,8603912,6221656,2360579,3151605,11733840,Yes
P0759,6394903,3906837,3721116,1211829,8839782,Yes
P0760,5685132,8682107,7816009,1447584,17945700,Yes
P0761,38399497,3101872,2529286,1710764,7341922,No
P0762,14764339,6966012,6486650,4039259,17491921,Yes
P0763,25476986,1148463,2609063,664287,4421813,No
P0764,48949315,4841573,3904005,2823307,11568885,No
P0765,31667401,6167014,3090826,2518253,11776093,No
P0766,11326031,8865934,1836160,1855132,12557226,Yes
P0767,44811270,6692864,5852596,2168125,14713585,No
P0768,13132018,2018213,4065836,2692144,8776193,No
P0769,28106045,1281031,3565710,903854,5750595,No
P0770,24133770,2061561,2576797,2353146,6991504,No
P0771,19044211,3618147,2427608,1074580,7120335,No
P0772,28326469,5389340,3745074,591932,9726346,No
P0773,15091673,6603477,2351555,4726213,13681245,No
P0774,43065102,3786038,4893002,202260,8881300,No
P0775,15849847,5662116,5658294,2473970,13794380,No
P0776,44104061,816278,2223637,3897987,6937902,No
P0777,13438424,8297520,7710902,1490704,17499126,Yes
P0778,38047964,6202570,6067340,1241597,13511507,No
P0779,23186064,2345824,5616292,3546290,11508406,No
P0780,31052604,9100976,7331566,3461450,19893992,No
P0781,27339518,8289000,2442054,2620525,13351579,No
P0782,44074881,9992787,4729205,216315,14938307,No
P0783,10813956,4363212,2513477,1132498,8009187,No
P0784,36873295,721931,5693015,2311054,8726000,No
P0785,8420021,3595586,985499,4508384,9089469,Yes
P0786,18437254,3986909,5382139,3947649,13316697,No
P0787,9674124,8563846,6130650,1835191,16529687,Yes
P0788,25149522,2631722,2449731,1426320,6507773,No
P0789,17198851,2977443,4818860,4979094,12775397,No
P0790,34033297,8073506,6188696,1740131,16002333,No
P0791,21934582,1219389,3643012,4403490,9265891,No
P0792,32249619,4245933,7736207,392910,12375050,No
P0793,19123179,3263930,4295032,2444981,10003943,No
P0794,12328392,6387103,5262309,4444538,16093950,Yes
P0795,29113103,5813441,478560,4407242,10699243,No
P0796,26747532,3589395,6407947,2815773,12813115,No
P0797,31925599,4038271,941991,4256804,9237066,No
P0798,46899414,5326066,1571526,212769,7110361,No
P0799,7792993,7246595,2282443,1464472,10993510,Yes
P0800,37936393,6335664,5133820,2888771,14358255,No
P0801,6080098,3458740,3393482,255673,7107895,Yes
P0802,24776860,2779065,6419477,3147457,12345999,No
P0803,43387066,1298287,1761311,1082239,4141837,No
P0804,37085179,4951371,6141576,2331596,13424543,No
P0805,35596353,2350220,7497841,3961486,13809547,No
P0806,19306037,8951886,2764992,4393766,16110644,No
P0807,31713169,2369723,1565588,1593669,5528980,No
P0808,13072369,3142515,3016054,589784,6748353,No
P0809,11726376,1353493,7899389,3237935,12490817,Yes
P0810,5807383,8730956,1252439,2517224,12500619,Yes
P0811,49660174,4186108,5471762,605743,10263613,No
P0812,29510086,9755480,993338,1183225,11932043,No
P0813,11469505,919048,3267531,1228302,5414881,No
P0814,32212944,2028361,2548755,1118727,5695843,No
P0815,43916672,912523,5949299,2006135,8867957,No
P0816,11279416,5868018,323401,572841,6764260,No
P0817,20333746,9352878,900652,1216689,11470219,No
P0818,24891926,8522077,599181,3160030,12281288,No
P0819,21286707,1756431,7399345,167915,9323691,No
P0820,6014735,1557980,1131235,2069916,4759131,No
P0821,47853359,6067945,1248574,944261,8260780,No
P0822,49011550,8423743,7596096,4620375,20640214,No
P0823,13561045,4946582,1039985,3871938,9858505,No
P0824,47514971,3273752,1785401,3187966,8247119,No
P0825,7032867,4591864,2197512,2975798,9765174,Yes
P0826,11064779,1532658,2151940,3229597,6914195,No
P0827,39354876,6311763,5612362,3736237,15660362,No
P0828,25823565,1765866,4959339,3859264,10584469,No
P0829,29734893,2198354,2079315,2993772,7271441,No
P0830,23292472,662115,6292081,4739487,11693683,No
P0831,22701939,3936841,731579,2802003,7470423,No
P0832,43322534,2774733,6143369,3688543,12606645,No
P0833,33997918,1074353,7786036,465372,9325761,No
P0834,33401929,3989241,2821556,3427442,10238239,No
P0835,24554759,5992274,6922725,4031823,16946822,No
P0836,27213443,4176029,4138140,4746078,13060247,No
P0837,18658152,5611292,730042,461087,6802421,No
P0838,43194855,1616336,5610301,4811561,12038198,No
P0839,20213865,9314207,5256775,317765,14888747,No
P0840,14349654,1174124,1581546,1531745,4287415,No
P0841,18002463,5481101,6494408,1710333,13685842,No
P0842,32122688,9617625,5085055,881321,15584001,No
P0843,46328138,6154348,6843163,1843891,14841402,No
P0844,30733098,9305248,2795048,2552980,14653276,No
P0845,21961526,9826398,1504522,4832995,16163915,No
P0846,35155135,3104547,632722,174373,3911642,No
P0847,40263697,3418601,1401962,1503602,6324165,No
P0848,24013466,9233288,2610232,1873690,13717210,No
P0849,6819320,632384,3908513,945610,5486507,No
P0850,34464506,1931784,984476,2341449,5257709,No
P0851,29714598,1383303,6621715,1794056,9799074,No
P0852,20797158,5656331,2489645,4564271,12710247,No
P0853,9747699,9919825,4421565,979496,15320886,Yes
P0854,6668950,1578642,6511630,2719166,10809438,Yes
P0855,9469705,2625015,862588,1103817,4591420,No
P0856,35704802,6320554,3830439,3333949,13484942,No
P0857,18054752,5989399,5215627,1284388,12489414,No
P0858,16299110,3278456,2913697,3964480,10156633,No
P0859,12536467,6335008,1749194,3666318,11750520,No
P0860,33864630,7487721,2868198,3409315,13765234,No
P0861,22295903,8046181,5253498,3108759,16408438,No
P0862,47344942,9530585,2422293,1817629,13770507,No
P0863,16862329,2552505,1398060,226778,4177343,No
P0864,12266588,8679117,6465367,2957971,18102455,Yes
P0865,10327164,7820643,2098995,1192538,11112176,Yes
P0866,28049935,9119221,6760489,1846522,17726232,No
P0867,12701885,7891333,774360,4023214,12688907,No
P0868,45548121,4718140,4176070,2891079,11785289,No
P0869,48208977,7759332,1777489,663528,10200349,No
P0870,31836287,3269815,706073,2534474,6510362,No
P0871,45097434,8346404,739706,3861339,12947449,No
P0872,49599680,9574356,1923644,3256301,14754301,No
P0873,15896266,8005756,7821328,1204401,17031485,Yes
P0874,22985604,2722838,6284503,1163559,10170900,No
P0875,47740881,3673274,7154914,2212293,13040481,No
P0876,36502542,1427154,7630491,4996085,14053730,No
P0877,17905016,9847756,619755,920653,11388164,No
P0878,40845066,4709881,7975919,3295788,15981588,No
P0879,29666003,694644,2732543,501681,3928868,No
P0880,20609637,4727091,4134457,4841728,13703276,No
P0881,31450329,782682,4211890,4776248,9770820,No
P0882,42070745,6473373,4813929,4729467,16016769,No
P0883,20633910,8959655,3970033,1512839,14442527,No
P0884,37571797,6933310,5121059,4028553,16082922,No
P0885,26037534,9335382,4698853,2754003,16788238,No
P0886,14236027,9817839,5627110,2734400,18179349,Yes
P0887,49901182,9028681,7242589,3228121,19499391,No
P0888,11725887,9878171,5600792,4161071,19640034,Yes
P0889,30775168,5469179,7529988,4086650,17085817,No
P0890,31105694,3280232,6923672,3016997,13220901,No
P0891,30936234,5652188,2801627,367423,8821238,No
P0892,9959179,7871805,7781761,1528510,17182076,Yes
P0893,18260669,7428121,5587188,1742640,14757949,No
P0894,37540639,7998894,3714804,3974421,15688119,No
P0895,22962081,8975515,2377356,3144144,14497015,No
P0896,21208402,9855811,3466273,2787542,16109626,No
P0897,42723654,9166292,706557,1599839,11472688,No
P0898,36620643,8820755,2648574,2509246,13978575,No
P0899,22023655,6456970,4217214,4769971,15444155,No
P0900,22686797,574628,2029890,270107,2874625,No
P0901,7533141,3086822,2180398,1472852,6740072,No
P0902,13864654,2382853,7157302,2299910,11840065,No
P0903,8694697,7279351,3879266,1346283,12504900,Yes
P0904,38405885,5112268,3028545,3024083,11164896,No
P0905,38670027,6341705,2826748,3499786,12668239,No
P0906,12227119,1271434,5796032,3929014,10996480,No
P0907,12014535,1650560,6757205,2405617,10813382,No
P0908,24265892,5696138,5822181,2188996,13707315,No
P0909,47178966,5118074,1498918,2133360,8750352,No
P0910,44014410,941699,5360755,2396049,8698503,No
P0911,23007401,6273448,4594537,2067776,12935761,No
P0912,42738408,8987046,7309822,2268178,18565046,No
P0913,42968220,5498635,2798900,1104398,9401933,No
P0914,42254972,826111,3275853,1380221,5482185,No
P0915,34917057,3911406,5322148,2550415,11783969,No
P0916,13268500,6850780,4404811,484472,11740063,No
P0917,26659069,9668342,1097049,1948265,12713656,No
P0918,11843778,2242537,6778769,1202709,10224015,No
P0919,7718881,3791251,3821271,260056,7872578,Yes
P0920,16289915,7861594,1807288,4756468,14425350,No
P0921,37277470,5637462,5899424,1244647,12781533,No
P0922,16908061,8226824,2784985,937913,11949722,No
P0923,27752647,4771631,3748854,2033069,10553554,No
P0924,49413707,3089704,4325442,1293722,8708868,No
P0925,18372134,6710458,6181831,1477482,14369771,No
P0926,37893265,7983142,6963258,3277902,18224302,No
P0927,36202546,6969595,6909887,4243511,18122993,No
P0928,21412243,8617691,492674,1746145,10856510,No
P0929,18000916,7909092,676105,2494559,11079756,No
P0930,12294055,3222156,1710564,1149043,6081763,No
P0931,36131203,4718723,4898649,372803,9990175,No
P0932,43584573,1568359,2552842,496766,4617967,No
P0933,25841578,2864304,4898563,961167,8724034,No
P0934,25299511,3846330,1054569,2879429,7780328,No
P0935,12898692,6452516,6723255,1232770,14408541,Yes
P0936,45575417,1465180,3881362,1503358,6849900,No
P0937,35275815,4757774,7147782,4252264,16157820,No
P0938,42457425,3826731,6161026,3339277,13327034,No
P0939,18192828,6864918,6981987,1813044,15659949,No
P0940,11546666,2957020,7870396,3376240,14203656,Yes
P0941,22344239,2837179,760101,4707503,8304783,No
P0942,27854674,2002400,5599113,2057892,9659405,No
P0943,49847409,9549812,1169551,3393158,14112521,No
P0944,27988447,3370495,2554040,4424890,10349425,No
P0945,35784498,3941553,5446294,2727815,12115662,No
P0946,7755358,7834148,4581710,3527583,15943441,Yes
P0947,9833276,643424,2301890,1410739,4356053,No
P0948,29886387,7165019,3292080,2372325,12829424,No
P0949,32820687,3236870,7948072,375224,11560166,No
P0950,31814660,2842020,2441419,4578114,9861553,No
P0951,46204390,3504346,939148,4132285,8575779,No
P0952,46069058,3381273,1778997,3683203,8843473,No
P0953,21561410,7857479,5980992,648268,14486739,No
P0954,16055373,720731,4605464,2473876,7800071,No
P0955,44072660,7597364,5920705,1941833,15459902,No
P0956,11175247,9404623,3623269,3910028,16937920,Yes
P0957,47242199,4016095,1034159,3827617,8877871,No
P0958,7517304,1207732,831892,2125448,4165072,No
P0959,6095822,4876069,493962,4476309,9846340,Yes
P0960,34115961,7284471,7989296,789683,16063450,No
P0961,31697961,813710,7647326,901905,9362941,No
P0962,29587201,5074583,3171399,4936110,13182092,No
P0963,36780147,6582040,534594,3698605,10815239,No
P0964,42746199,8335969,5733432,2691532,16760933,No
P0965,28201163,3158381,507498,4816164,8482043,No
P0966,21635927,733855,2751788,1163577,4649220,No
P0967,27781666,9353730,3835197,201745,13390672,No
P0968,12105187,4595645,2123992,4509712,11229349,No
P0969,12937749,8575572,5500471,3484647,17560690,Yes
P0970,20457377,4760633,7582625,4369645,16712903,No
P0971,26691147,971137,1656719,3619071,6246927,No
P0972,10643707,7879675,7609745,2475822,17965242,Yes
P0973,35446595,4950230,5295565,645467,10891262,No
P0974,44207338,1890975,5175261,2235097,9301333,No
P0975,5473482,8601806,2137080,4621069,15359955,Yes
P0976,38278759,4680427,4030974,3205303,11916704,No
P0977,6084348,6645280,1943108,1138520,9726908,Yes
P0978,13817490,5428186,4999566,4042741,14470493,Yes
P0979,10719548,9458384,3023141,822614,13304139,Yes
P0980,44813282,3954142,5803458,2311536,12069136,No
P0981,20651674,5610333,609608,2065267,8285208,No
P0982,14732268,6455259,3937847,3222329,13615435,No
P0983,38642383,5806136,4113088,3756549,13675773,No
P0984,48096369,9219356,2548051,3285674,15053081,No
P0985,20862886,5571959,5866572,3788099,15226630,No
P0986,19652115,7031845,7849744,1937386,16818975,No
P0987,24966133,6925628,6023327,2128464,15077419,No
P0988,14847771,7474413,2972389,2859829,13306631,No
P0989,29148601,8551517,2685616,3514043,14751176,No
P0990,24415130,4792899,5876747,380557,11050203,No
P0991,25036825,9797292,508442,1279130,11584864,No
P0992,31760585,3801274,1007123,645437,5453834,No
P0993,7719870,1745576,5628307,3385926,10759809,Yes
P0994,41637180,5644063,4742159,3917584,14303806,No
P0995,32501183,7676685,530944,3882720,12090349,No
P0996,12509493,8048533,5259671,1129743,14437947,Yes
P0997,44752517,6853386,2486044,4891812,14231242,No
P0998,17416368,1565739,4103287,2023324,7692350,No
P0999,21734784,516160,3606765,3825200,7948125,No
P1000,20280539,8941969,7146206,1409664,17497839,No
