Project_ID,Concrete_Strength,Steel_Quality,Cracks,Quality_Risk
P0911,29,Poor,Yes,High
P0912,40,Poor,Yes,High
P0913,36,Poor,Yes,Low
P0914,28,Poor,Yes,High
P0915,25,Good,No,High
P0916,28,Poor,No,High
P0917,36,Good,Yes,Medium
P0918,24,Poor,Yes,High
P0919,26,Average,Yes,Low
P0920,36,Good,Yes,High
P0921,37,Average,Yes,Low
P0922,41,Good,No,High
P0923,32,Good,No,Medium
P0924,22,Average,No,Medium
P0925,25,Good,Yes,Medium
P0926,39,Good,No,High
P0927,37,Good,No,Low
P0928,20,Poor,Yes,High
P0929,38,Average,No,High
P0930,24,Good,Yes,Low
P0931,36,Poor,No,High
P0932,20,Poor,No,High
P0933,33,Good,Yes,Medium
P0934,39,Average,Yes,Medium
P0935,38,Average,Yes,High
P0936,40,Good,Yes,Low
P0937,32,Average,Yes,Low
P0938,42,Good,Yes,Medium
P0939,44,Good,Yes,Low
P0940,39,Poor,Yes,High
P0941,43,Good,Yes,Medium
P0942,50,Average,No,High
P0943,26,Poor,Yes,Low
P0944,33,Poor,Yes,High
P0945,32,Average,No,Low
P0946,21,Poor,Yes,Medium
P0947,34,Poor,Yes,Low
P0948,34,Poor,No,Medium
P0949,45,Average,No,Medium
P0950,21,Average,Yes,Low
P0951,40,Poor,Yes,Low
P0952,25,Poor,No,Medium
P0953,34,Average,No,Medium
P0954,24,Average,Yes,Low
P0955,30,Average,Yes,Low
P0956,33,Good,Yes,High
P0957,34,Good,Yes,High
P0958,37,Good,No,Low
P0959,47,Average,Yes,Low
P0960,44,Poor,No,Low
P0961,22,Average,Yes,Low
P0962,22,Poor,No,Medium
P0963,41,Poor,No,Low
P0964,41,Poor,No,Low
P0965,27,Average,No,Medium
P0966,50,Good,Yes,Low
P0967,49,Average,Yes,Medium
P0968,42,Average,Yes,Low
P0969,47,Good,No,Medium
P0970,24,Good,Yes,Low
P0971,24,Good,No,High
P0972,34,Poor,Yes,Medium
P0973,31,Good,No,High
P0974,21,Good,Yes,Low
P0975,21,Good,No,Low
P0976,29,Poor,No,Low
P0977,46,Average,No,High
P0978,29,Poor,No,High
P0979,41,Poor,No,Low
P0980,21,Average,Yes,High
P0981,44,Average,Yes,High
P0982,40,Poor,No,Low
P0983,28,Average,No,Medium
P0984,27,Good,No,Low
P0985,34,Poor,No,Medium
P0986,24,Poor,Yes,High
P0987,36,Poor,Yes,High
P0988,27,Poor,No,Low
P0989,25,Good,No,Low
P0990,49,Average,Yes,High
P0991,20,Poor,No,High
P0992,40,Average,No,Low
P0993,41,Good,No,Medium
P0994,40,Poor,Yes,Low
P0995,29,Average,Yes,Medium
P0996,37,Good,Yes,High
P0997,45,Average,No,Low
P0998,46,Average,Yes,Low
P0999,25,Average,No,Low
P1000,34,Good,No,Low
