Project_ID,Equipment,Working,Maintenance,Failure,Age
P0701,Crane,Yes,Yes,No,11
P0702,Crane,No,No,Yes,10
P0703,Crane,Yes,No,No,14
P0704,Bulldozer,Yes,No,No,7
P0705,Excavator,Yes,No,Yes,6
P0706,Excavator,Yes,No,Yes,11
P0707,Crane,No,No,Yes,8
P0708,Mixer,Yes,No,No,9
P0709,Loader,No,No,No,7
P0710,Mixer,No,No,Yes,8
P0711,Loader,No,No,No,9
P0712,Bulldozer,Yes,No,No,6
P0713,Crane,Yes,No,Yes,6
P0714,Excavator,Yes,Yes,Yes,11
P0715,Bulldozer,Yes,No,Yes,5
P0716,Bulldozer,No,No,No,9
P0717,Mixer,Yes,Yes,No,13
P0718,Bulldozer,Yes,No,No,10
P0719,Bulldozer,Yes,Yes,Yes,14
P0720,Bulldozer,No,Yes,No,15
P0721,Mixer,No,No,Yes,5
P0722,Excavator,Yes,Yes,Yes,2
P0723,Loader,No,No,No,13
P0724,Excavator,Yes,Yes,No,2
P0725,Loader,Yes,No,Yes,15
P0726,Crane,Yes,No,No,11
P0727,Mixer,No,Yes,Yes,2
P0728,Excavator,Yes,Yes,Yes,15
P0729,Mixer,No,Yes,No,14
P0730,Bulldozer,No,No,Yes,10
P0731,Bulldozer,Yes,Yes,No,1
P0732,Loader,No,No,No,5
P0733,Mixer,Yes,Yes,No,4
P0734,Mixer,Yes,No,No,8
P0735,Excavator,No,Yes,No,2
P0736,Bulldozer,Yes,Yes,No,6
P0737,Crane,Yes,Yes,No,5
P0738,Mixer,Yes,Yes,Yes,4
P0739,Excavator,No,No,No,12
P0740,Bulldozer,Yes,No,No,7
P0741,Excavator,No,Yes,Yes,6
P0742,Excavator,Yes,Yes,No,12
P0743,Crane,No,No,No,14
P0744,Bulldozer,Yes,Yes,Yes,5
P0745,Crane,Yes,No,No,1
P0746,Loader,Yes,Yes,Yes,10
P0747,Excavator,Yes,No,No,6
P0748,Crane,No,Yes,Yes,9
P0749,Mixer,No,No,No,8
P0750,Mixer,Yes,Yes,Yes,6
P0751,Mixer,No,Yes,No,12
P0752,Bulldozer,Yes,No,No,13
P0753,Bulldozer,Yes,No,Yes,13
P0754,Mixer,Yes,Yes,Yes,4
P0755,Mixer,No,No,Yes,13
P0756,Excavator,No,No,Yes,7
P0757,Loader,Yes,Yes,No,1
P0758,Mixer,No,Yes,No,2
P0759,Crane,Yes,Yes,No,11
P0760,Crane,No,No,No,10
P0761,Loader,Yes,No,Yes,14
P0762,Loader,No,No,No,4
P0763,Excavator,Yes,Yes,Yes,11
P0764,Excavator,No,No,No,2
P0765,Crane,No,No,No,7
P0766,Loader,No,No,Yes,11
P0767,Crane,No,No,Yes,15
P0768,Bulldozer,Yes,Yes,Yes,10
P0769,Excavator,No,No,Yes,15
P0770,Excavator,No,No,Yes,12
P0771,Bulldozer,No,Yes,No,7
P0772,Bulldozer,Yes,No,Yes,15
P0773,Mixer,No,No,No,13
P0774,Mixer,No,Yes,No,8
P0775,Mixer,No,Yes,No,9
P0776,Loader,Yes,No,Yes,14
P0777,Excavator,Yes,Yes,No,1
P0778,Crane,No,Yes,Yes,13
P0779,Bulldozer,Yes,Yes,Yes,13
P0780,Loader,No,Yes,Yes,11
P0781,Excavator,No,No,No,11
P0782,Mixer,Yes,Yes,Yes,8
P0783,Bulldozer,No,No,Yes,13
P0784,Loader,No,No,No,3
P0785,Excavator,No,Yes,Yes,9
P0786,Loader,Yes,Yes,No,14
P0787,Bulldozer,Yes,No,Yes,7
P0788,Loader,Yes,No,Yes,15
P0789,Excavator,No,No,No,8
P0790,Excavator,No,No,Yes,1
P0791,Loader,No,Yes,Yes,4
P0792,Bulldozer,No,No,No,1
P0793,Excavator,No,No,No,15
P0794,Bulldozer,No,Yes,No,6
P0795,Loader,Yes,No,Yes,12
P0796,Bulldozer,Yes,No,Yes,12
P0797,Bulldozer,No,No,Yes,5
P0798,Bulldozer,Yes,Yes,Yes,15
P0799,Excavator,No,Yes,Yes,9
P0800,Excavator,No,Yes,Yes,2
P0801,Excavator,No,Yes,No,8
P0802,Loader,Yes,Yes,No,10
P0803,Excavator,No,No,Yes,15
P0804,Bulldozer,Yes,No,No,9
P0805,Excavator,No,No,No,10
P0806,Excavator,No,No,Yes,14
P0807,Excavator,No,Yes,Yes,13
P0808,Crane,No,No,No,9
P0809,Crane,No,Yes,Yes,13
P0810,Excavator,No,Yes,Yes,6
P0811,Bulldozer,Yes,Yes,Yes,9
P0812,Loader,No,No,No,4
P0813,Mixer,No,No,No,1
P0814,Crane,No,No,Yes,14
P0815,Crane,Yes,No,Yes,1
P0816,Excavator,No,Yes,No,6
P0817,Mixer,Yes,No,No,4
P0818,Mixer,No,No,No,2
P0819,Bulldozer,Yes,Yes,No,7
P0820,Bulldozer,No,Yes,No,1
P0821,Bulldozer,No,No,No,13
P0822,Loader,Yes,Yes,No,15
P0823,Loader,Yes,No,No,10
P0824,Excavator,No,Yes,Yes,10
P0825,Loader,Yes,Yes,Yes,6
P0826,Bulldozer,No,No,No,6
P0827,Excavator,No,No,Yes,7
P0828,Loader,No,Yes,No,12
P0829,Mixer,Yes,Yes,No,13
P0830,Excavator,Yes,No,No,2
P0831,Crane,Yes,No,No,4
P0832,Loader,Yes,Yes,Yes,6
P0833,Bulldozer,No,Yes,Yes,4
P0834,Excavator,Yes,No,Yes,1
P0835,Crane,Yes,No,No,5
P0836,Excavator,No,No,No,11
P0837,Bulldozer,No,Yes,Yes,14
P0838,Bulldozer,No,No,Yes,11
P0839,Crane,Yes,No,Yes,6
P0840,Mixer,Yes,No,Yes,12
P0841,Bulldozer,No,Yes,No,7
P0842,Excavator,No,Yes,No,1
P0843,Bulldozer,No,Yes,Yes,10
P0844,Crane,No,No,Yes,13
P0845,Loader,No,Yes,Yes,4
P0846,Excavator,Yes,No,No,8
P0847,Mixer,No,No,Yes,12
P0848,Excavator,No,No,Yes,14
P0849,Crane,No,No,No,3
P0850,Mixer,No,No,No,9
P0851,Mixer,No,No,No,10
P0852,Excavator,No,Yes,No,15
P0853,Bulldozer,No,No,No,3
P0854,Excavator,Yes,Yes,No,2
P0855,Excavator,Yes,Yes,Yes,8
P0856,Crane,Yes,No,No,10
P0857,Crane,No,No,No,13
P0858,Bulldozer,Yes,No,No,11
P0859,Loader,Yes,Yes,Yes,3
P0860,Mixer,Yes,Yes,Yes,13
P0861,Mixer,Yes,No,No,6
P0862,Bulldozer,No,Yes,Yes,6
P0863,Loader,Yes,No,Yes,13
P0864,Mixer,No,Yes,No,7
P0865,Excavator,No,Yes,Yes,10
P0866,Bulldozer,Yes,Yes,Yes,2
P0867,Crane,No,Yes,No,6
P0868,Bulldozer,Yes,No,Yes,13
P0869,Crane,No,No,No,3
P0870,Crane,No,No,No,4
P0871,Bulldozer,Yes,Yes,No,13
P0872,Loader,No,Yes,No,12
P0873,Crane,No,No,Yes,5
P0874,Crane,No,Yes,Yes,6
P0875,Bulldozer,Yes,Yes,Yes,4
P0876,Loader,Yes,Yes,Yes,11
P0877,Bulldozer,No,No,No,12
P0878,Excavator,Yes,Yes,No,4
P0879,Bulldozer,Yes,Yes,No,5
P0880,Bulldozer,No,No,Yes,14
P0881,Mixer,Yes,No,No,6
P0882,Crane,No,Yes,Yes,9
P0883,Mixer,No,Yes,No,11
P0884,Excavator,No,Yes,No,10
P0885,Excavator,No,Yes,No,3
P0886,Mixer,No,No,No,12
P0887,Bulldozer,Yes,No,No,11
P0888,Bulldozer,Yes,Yes,No,11
P0889,Excavator,No,No,No,12
P0890,Mixer,Yes,Yes,No,14
P0891,Loader,No,No,No,15
P0892,Crane,No,Yes,Yes,13
P0893,Excavator,Yes,Yes,No,1
P0894,Loader,No,No,Yes,12
P0895,Mixer,No,Yes,No,4
P0896,Bulldozer,Yes,Yes,Yes,14
P0897,Bulldozer,Yes,No,Yes,8
P0898,Crane,No,Yes,No,15
P0899,Loader,No,No,No,8
P0900,Bulldozer,Yes,No,No,10
P0901,Loader,Yes,No,Yes,8
P0902,Excavator,No,Yes,Yes,6
P0903,Excavator,No,No,Yes,13
P0904,Excavator,Yes,Yes,No,14
P0905,Mixer,Yes,Yes,No,2
P0906,Crane,No,Yes,No,5
P0907,Bulldozer,No,Yes,No,2
P0908,Crane,No,Yes,No,6
P0909,Loader,No,No,Yes,14
P0910,Excavator,Yes,No,Yes,6
P0911,Excavator,Yes,No,Yes,6
P0912,Crane,Yes,No,No,13
P0913,Crane,Yes,No,Yes,3
P0914,Bulldozer,Yes,No,Yes,6
P0915,Mixer,Yes,No,Yes,8
P0916,Mixer,Yes,Yes,No,12
P0917,Loader,Yes,Yes,No,15
P0918,Crane,Yes,No,No,7
P0919,Loader,No,No,Yes,10
P0920,Mixer,No,No,Yes,3
P0921,Crane,Yes,No,Yes,1
P0922,Bulldozer,No,No,Yes,9
P0923,Crane,No,No,No,5
P0924,Mixer,Yes,No,Yes,14
P0925,Loader,No,Yes,No,5
P0926,Excavator,No,No,Yes,11
P0927,Excavator,Yes,Yes,No,2
P0928,Mixer,Yes,No,Yes,1
P0929,Crane,No,No,No,15
P0930,Bulldozer,No,No,No,15
P0931,Mixer,No,Yes,No,11
P0932,Mixer,Yes,No,Yes,5
P0933,Crane,No,No,No,15
P0934,Excavator,Yes,No,No,10
P0935,Excavator,Yes,No,No,12
P0936,Mixer,Yes,No,No,11
P0937,Loader,Yes,Yes,No,9
P0938,Mixer,Yes,No,No,14
P0939,Bulldozer,No,Yes,No,13
P0940,Bulldozer,No,No,No,10
P0941,Loader,No,No,Yes,8
P0942,Excavator,No,Yes,No,13
P0943,Excavator,Yes,Yes,No,11
P0944,Excavator,Yes,Yes,Yes,12
P0945,Mixer,No,Yes,Yes,3
P0946,Excavator,No,Yes,No,3
P0947,Loader,No,No,Yes,3
P0948,Excavator,No,No,No,8
P0949,Excavator,No,Yes,No,3
P0950,Loader,Yes,Yes,No,6
P0951,Crane,No,Yes,No,4
P0952,Excavator,Yes,No,No,9
P0953,Bulldozer,No,Yes,Yes,8
P0954,Loader,Yes,Yes,No,5
P0955,Excavator,Yes,No,No,10
P0956,Crane,No,Yes,Yes,7
P0957,Excavator,No,No,No,7
P0958,Loader,No,Yes,No,5
P0959,Mixer,No,Yes,No,6
P0960,Mixer,No,Yes,No,15
P0961,Bulldozer,Yes,Yes,No,7
P0962,Excavator,Yes,No,No,5
P0963,Excavator,No,No,No,12
P0964,Excavator,Yes,No,Yes,14
P0965,Bulldozer,No,No,Yes,14
P0966,Mixer,No,Yes,Yes,5
P0967,Mixer,No,Yes,No,13
P0968,Crane,Yes,Yes,Yes,4
P0969,Crane,Yes,No,No,13
P0970,Mixer,Yes,Yes,No,7
P0971,Loader,No,Yes,No,3
P0972,Crane,No,No,No,9
P0973,Bulldozer,Yes,Yes,Yes,11
P0974,Loader,No,Yes,Yes,7
P0975,Loader,Yes,No,Yes,5
P0976,Bulldozer,No,No,Yes,11
P0977,Crane,Yes,No,No,10
P0978,Loader,No,Yes,No,3
P0979,Mixer,Yes,Yes,No,14
P0980,Excavator,No,Yes,No,3
P0981,Bulldozer,No,Yes,No,5
P0982,Loader,No,No,Yes,7
P0983,Excavator,No,Yes,Yes,12
P0984,Excavator,Yes,No,Yes,10
P0985,Crane,Yes,Yes,No,10
P0986,Loader,No,No,Yes,3
P0987,Loader,Yes,No,Yes,11
P0988,Crane,Yes,No,No,14
P0989,Excavator,No,Yes,No,11
P0990,Loader,No,Yes,Yes,3
P0991,Bulldozer,Yes,Yes,No,3
P0992,Bulldozer,Yes,Yes,No,1
P0993,Excavator,No,Yes,Yes,14
P0994,Mixer,No,No,No,14
P0995,Crane,No,Yes,No,12
P0996,Loader,Yes,No,Yes,3
P0997,Bulldozer,No,Yes,Yes,2
P0998,Crane,Yes,Yes,Yes,15
P0999,Excavator,Yes,Yes,No,6
P1000,Crane,No,No,No,5
