Project_ID,Helmet,Vest,Gloves,Safety_Shoes,Accident,Risk_Level
P0643,No,Yes,Yes,No,Yes,High
P0644,No,No,No,No,No,Medium
P0645,No,Yes,Yes,Yes,No,Low
P0646,Yes,Yes,Yes,No,No,Medium
P0647,Yes,No,Yes,No,Yes,High
P0648,Yes,No,No,No,No,Low
P0649,No,No,No,Yes,No,Low
P0650,No,No,Yes,No,No,Low
P0651,No,Yes,No,Yes,Yes,High
P0652,No,No,No,No,Yes,High
P0653,No,Yes,No,No,No,Low
P0654,No,Yes,Yes,No,Yes,High
P0655,Yes,Yes,No,Yes,No,Medium
P0656,Yes,Yes,Yes,Yes,No,Medium
P0657,Yes,No,Yes,No,No,Low
P0658,Yes,No,Yes,No,No,Low
P0659,Yes,Yes,No,No,No,Low
P0660,No,No,Yes,No,No,Medium
P0661,Yes,No,Yes,No,Yes,High
P0662,No,Yes,No,Yes,Yes,High
P0663,Yes,Yes,No,Yes,No,Medium
P0664,No,Yes,No,Yes,Yes,High
P0665,No,Yes,No,Yes,Yes,High
P0666,No,No,No,Yes,No,Medium
P0667,Yes,No,No,No,No,Medium
P0668,Yes,No,Yes,Yes,Yes,High
P0669,Yes,No,No,No,No,Low
P0670,Yes,No,No,No,Yes,High
P0671,Yes,Yes,No,No,No,Low
P0672,Yes,Yes,Yes,No,No,Medium
P0673,Yes,No,Yes,No,No,Low
P0674,No,No,Yes,Yes,No,Low
P0675,Yes,No,Yes,Yes,Yes,High
P0676,No,Yes,No,No,Yes,High
P0677,Yes,No,Yes,No,No,Low
P0678,No,Yes,No,Yes,Yes,High
P0679,Yes,No,Yes,No,No,Low
P0680,Yes,Yes,Yes,Yes,No,Medium
P0681,No,No,No,Yes,Yes,High
P0682,Yes,Yes,Yes,No,No,Medium
P0683,Yes,Yes,Yes,No,No,Low
P0684,No,Yes,Yes,Yes,Yes,High
P0685,Yes,No,No,Yes,No,Medium
P0686,Yes,No,No,Yes,Yes,High
P0687,Yes,Yes,No,No,No,Low
P0688,No,No,No,No,Yes,High
P0689,Yes,No,No,No,No,Low
P0690,Yes,Yes,Yes,Yes,No,Medium
P0691,No,Yes,No,Yes,Yes,High
P0692,No,Yes,Yes,Yes,Yes,High
P0693,Yes,No,Yes,No,Yes,High
P0694,Yes,Yes,Yes,Yes,No,Low
P0695,No,Yes,No,Yes,Yes,High
P0696,No,No,Yes,No,Yes,High
P0697,Yes,No,Yes,No,Yes,High
P0698,No,Yes,No,Yes,No,Medium
P0699,No,Yes,Yes,Yes,Yes,High
P0700,No,No,Yes,Yes,Yes,High
P0701,Yes,Yes,No,No,No,Medium
P0702,Yes,Yes,No,Yes,No,Medium
P0703,Yes,Yes,No,Yes,No,Medium
P0704,No,No,Yes,No,Yes,High
P0705,No,Yes,Yes,Yes,Yes,High
P0706,No,No,No,Yes,Yes,High
P0707,No,No,No,Yes,Yes,High
P0708,Yes,Yes,Yes,Yes,No,Medium
P0709,No,No,No,Yes,No,Low
P0710,No,No,Yes,No,No,Low
P0711,Yes,No,Yes,No,Yes,High
P0712,Yes,Yes,No,Yes,No,Medium
P0713,No,Yes,No,Yes,Yes,High
P0714,Yes,Yes,No,Yes,No,Low
P0715,No,No,Yes,No,Yes,High
P0716,No,Yes,No,Yes,No,Medium
P0717,No,Yes,Yes,No,No,Low
P0718,No,No,Yes,Yes,No,Medium
P0719,No,Yes,Yes,Yes,Yes,High
P0720,Yes,Yes,No,No,No,Low
P0721,Yes,Yes,Yes,No,No,Low
P0722,Yes,Yes,Yes,No,No,Low
P0723,No,Yes,Yes,No,No,Low
P0724,Yes,No,Yes,Yes,Yes,High
P0725,Yes,Yes,No,No,No,Low
P0726,Yes,No,Yes,No,No,Low
P0727,Yes,No,No,Yes,Yes,High
P0728,No,Yes,No,No,Yes,High
P0729,No,Yes,No,Yes,Yes,High
P0730,No,Yes,No,Yes,Yes,High
P0731,Yes,No,No,No,Yes,High
P0732,No,Yes,No,No,Yes,High
P0733,Yes,Yes,Yes,Yes,No,Medium
P0734,Yes,Yes,Yes,Yes,No,Medium
P0735,No,No,No,No,Yes,High
P0736,No,Yes,Yes,No,No,Medium
P0737,No,Yes,No,No,Yes,High
P0738,Yes,Yes,Yes,Yes,No,Low
P0739,Yes,No,Yes,No,No,Low
P0740,No,No,No,Yes,Yes,High
P0741,Yes,Yes,No,No,No,Medium
P0742,Yes,No,No,Yes,Yes,High
P0743,Yes,No,No,Yes,Yes,High
P0744,No,No,Yes,Yes,No,Medium
P0745,No,Yes,Yes,Yes,Yes,High
P0746,Yes,No,No,Yes,No,Low
P0747,Yes,Yes,Yes,No,No,Low
P0748,Yes,No,Yes,No,Yes,High
P0749,Yes,No,No,No,Yes,High
P0750,No,Yes,Yes,Yes,No,Low
P0751,No,No,Yes,Yes,Yes,High
P0752,No,Yes,No,No,No,Medium
P0753,No,No,No,Yes,Yes,High
P0754,Yes,No,No,No,Yes,High
P0755,Yes,Yes,No,No,No,Medium
P0756,No,No,No,Yes,No,Medium
P0757,No,No,Yes,No,Yes,High
P0758,No,No,No,Yes,Yes,High
P0759,Yes,No,Yes,Yes,No,Medium
P0760,No,Yes,Yes,No,No,Medium
P0761,Yes,Yes,No,No,No,Low
P0762,No,Yes,Yes,Yes,Yes,High
P0763,No,No,No,Yes,No,Medium
P0764,Yes,Yes,No,No,No,Low
P0765,Yes,No,Yes,Yes,Yes,High
P0766,No,Yes,No,No,No,Medium
P0767,No,No,No,Yes,No,Low
P0768,No,Yes,No,No,Yes,High
P0769,No,No,No,Yes,Yes,High
P0770,Yes,No,Yes,Yes,No,Medium
P0771,Yes,Yes,No,Yes,No,Medium
P0772,Yes,No,Yes,Yes,No,Medium
P0773,Yes,No,No,No,No,Low
P0774,No,No,Yes,Yes,Yes,High
P0775,Yes,Yes,No,Yes,No,Low
P0776,Yes,Yes,No,No,No,Low
P0777,Yes,No,Yes,No,No,Medium
P0778,No,No,No,No,Yes,High
P0779,No,No,Yes,No,No,Medium
P0780,No,Yes,No,No,No,Low
P0781,No,No,No,Yes,No,Medium
P0782,No,No,Yes,Yes,No,Medium
P0783,No,Yes,Yes,No,No,Low
P0784,No,Yes,No,Yes,No,Low
P0785,No,No,No,No,No,Medium
P0786,No,No,Yes,Yes,Yes,High
P0787,No,Yes,No,Yes,Yes,High
P0788,No,No,No,No,No,Low
P0789,No,No,No,No,No,Low
P0790,No,No,No,Yes,No,Low
P0791,Yes,No,No,Yes,Yes,High
P0792,No,No,No,Yes,Yes,High
P0793,Yes,Yes,No,No,No,Medium
P0794,Yes,No,Yes,No,Yes,High
P0795,Yes,Yes,No,Yes,No,Low
P0796,Yes,Yes,No,Yes,No,Low
P0797,Yes,Yes,No,Yes,No,Medium
P0798,No,Yes,Yes,Yes,Yes,High
P0799,Yes,Yes,Yes,No,No,Low
P0800,No,Yes,Yes,Yes,Yes,High
P0801,Yes,No,No,No,No,Medium
P0802,No,Yes,Yes,No,Yes,High
P0803,Yes,No,Yes,No,No,Medium
P0804,Yes,Yes,Yes,No,No,Low
P0805,Yes,Yes,Yes,No,No,Low
P0806,No,No,No,Yes,Yes,High
P0807,Yes,Yes,Yes,No,No,Low
P0808,No,No,No,Yes,No,Low
P0809,Yes,Yes,No,No,No,Medium
P0810,Yes,Yes,Yes,Yes,No,Medium
P0811,Yes,Yes,No,No,No,Low
P0812,No,No,Yes,Yes,No,Medium
P0813,No,No,Yes,Yes,No,Low
P0814,Yes,No,Yes,Yes,Yes,High
P0815,Yes,Yes,No,No,No,Medium
P0816,No,Yes,No,No,Yes,High
P0817,Yes,No,No,Yes,No,Medium
P0818,No,No,No,No,Yes,High
P0819,No,Yes,No,No,No,Medium
P0820,Yes,No,Yes,Yes,No,Low
P0821,No,Yes,Yes,Yes,No,Medium
P0822,No,No,Yes,No,Yes,High
P0823,Yes,Yes,Yes,No,No,Low
P0824,Yes,Yes,No,No,No,Low
P0825,No,Yes,No,No,No,Low
P0826,Yes,No,No,Yes,No,Low
P0827,Yes,No,No,No,Yes,High
P0828,Yes,Yes,No,Yes,No,Low
P0829,No,No,No,Yes,No,Low
P0830,No,No,No,No,No,Low
P0831,Yes,No,No,Yes,Yes,High
P0832,No,Yes,No,No,Yes,High
P0833,No,No,No,No,Yes,High
P0834,Yes,No,Yes,Yes,Yes,High
P0835,Yes,No,Yes,Yes,Yes,High
P0836,Yes,Yes,No,No,No,Medium
P0837,Yes,No,Yes,Yes,Yes,High
P0838,No,Yes,No,Yes,No,Low
P0839,Yes,No,No,No,No,Low
P0840,Yes,No,Yes,Yes,Yes,High
P0841,No,No,Yes,Yes,No,Low
P0842,No,No,No,No,Yes,High
P0843,Yes,Yes,No,Yes,No,Medium
P0844,Yes,No,Yes,No,No,Low
P0845,No,No,No,Yes,Yes,High
P0846,Yes,No,No,Yes,No,Low
P0847,No,No,Yes,No,No,Low
P0848,Yes,No,Yes,Yes,Yes,High
P0849,Yes,Yes,No,Yes,No,Medium
P0850,No,Yes,No,No,No,Low
P0851,No,No,Yes,Yes,No,Low
P0852,No,No,No,Yes,Yes,High
P0853,Yes,No,No,No,No,Medium
P0854,Yes,Yes,No,No,No,Medium
P0855,No,Yes,No,No,Yes,High
P0856,No,Yes,No,No,No,Medium
P0857,No,Yes,No,No,Yes,High
P0858,No,No,No,Yes,No,Low
P0859,Yes,No,No,Yes,No,Medium
P0860,Yes,Yes,No,No,No,Low
P0861,No,Yes,No,Yes,No,Medium
P0862,Yes,No,Yes,Yes,No,Medium
P0863,No,No,Yes,No,No,Medium
P0864,Yes,Yes,No,No,No,Low
P0865,Yes,No,No,Yes,Yes,High
P0866,Yes,Yes,Yes,No,No,Medium
P0867,No,No,No,Yes,Yes,High
P0868,Yes,Yes,No,Yes,No,Medium
P0869,No,No,Yes,Yes,Yes,High
P0870,No,Yes,No,No,No,Low
P0871,Yes,Yes,Yes,Yes,No,Low
P0872,No,Yes,No,No,No,Low
P0873,No,Yes,Yes,No,Yes,High
P0874,No,No,Yes,No,No,Low
P0875,Yes,Yes,No,Yes,No,Medium
P0876,Yes,Yes,Yes,No,No,Medium
P0877,Yes,Yes,No,No,No,Medium
P0878,No,Yes,No,No,Yes,High
P0879,No,No,No,Yes,No,Low
P0880,No,Yes,Yes,No,No,Medium
P0881,No,No,No,No,No,Low
P0882,No,Yes,No,Yes,Yes,High
P0883,No,Yes,No,No,Yes,High
P0884,Yes,Yes,Yes,No,No,Low
P0885,Yes,No,No,Yes,Yes,High
P0886,Yes,Yes,No,No,No,Low
P0887,No,Yes,Yes,Yes,No,Medium
P0888,Yes,Yes,No,Yes,No,Medium
P0889,No,Yes,Yes,No,No,Medium
P0890,No,Yes,No,Yes,Yes,High
P0891,Yes,Yes,Yes,Yes,No,Medium
P0892,No,No,No,No,No,Medium
P0893,No,No,No,Yes,Yes,High
P0894,Yes,No,Yes,Yes,Yes,High
P0895,Yes,No,Yes,Yes,Yes,High
P0896,No,No,No,No,No,Low
P0897,Yes,Yes,Yes,No,No,Medium
P0898,Yes,Yes,No,No,No,Low
P0899,Yes,No,Yes,Yes,No,Medium
P0900,Yes,No,Yes,No,Yes,High
P0901,Yes,No,Yes,No,No,Low
P0902,Yes,No,Yes,No,Yes,High
P0903,No,No,Yes,Yes,No,Medium
P0904,No,Yes,Yes,No,No,Low
P0905,No,Yes,Yes,Yes,No,Low
P0906,No,No,Yes,No,Yes,High
P0907,No,No,Yes,No,Yes,High
P0908,Yes,Yes,No,No,No,Medium
P0909,Yes,No,No,Yes,No,Low
P0910,No,Yes,No,Yes,Yes,High
P0911,No,No,Yes,No,Yes,High
P0912,Yes,No,Yes,Yes,Yes,High
P0913,No,No,No,Yes,No,Low
P0914,No,No,Yes,Yes,Yes,High
P0915,Yes,No,No,Yes,Yes,High
P0916,No,No,No,Yes,Yes,High
P0917,Yes,No,No,Yes,No,Medium
P0918,No,Yes,Yes,No,Yes,High
P0919,No,No,No,No,No,Low
P0920,No,No,Yes,Yes,Yes,High
P0921,No,Yes,No,No,No,Low
P0922,Yes,No,Yes,No,Yes,High
P0923,No,No,No,No,No,Medium
P0924,No,No,No,Yes,No,Medium
P0925,Yes,Yes,No,No,No,Medium
P0926,No,No,No,No,Yes,High
P0927,Yes,Yes,Yes,Yes,No,Low
P0928,Yes,No,Yes,Yes,Yes,High
P0929,Yes,No,No,Yes,Yes,High
P0930,Yes,No,Yes,No,No,Low
P0931,Yes,No,Yes,Yes,Yes,High
P0932,No,No,No,Yes,Yes,High
P0933,No,No,Yes,No,No,Medium
P0934,Yes,No,No,Yes,No,Medium
P0935,Yes,No,No,Yes,Yes,High
P0936,No,Yes,No,No,No,Low
P0937,No,Yes,Yes,No,No,Low
P0938,Yes,Yes,No,Yes,No,Medium
P0939,Yes,No,Yes,No,No,Low
P0940,No,No,Yes,No,Yes,High
P0941,Yes,No,No,Yes,No,Medium
P0942,Yes,No,No,No,Yes,High
P0943,No,Yes,No,Yes,No,Low
P0944,No,No,No,No,Yes,High
P0945,No,No,Yes,Yes,No,Low
P0946,Yes,Yes,Yes,No,No,Medium
P0947,No,Yes,Yes,No,No,Low
P0948,No,Yes,Yes,No,No,Medium
P0949,No,No,No,No,No,Medium
P0950,No,Yes,Yes,Yes,No,Low
P0951,Yes,Yes,Yes,Yes,No,Low
P0952,Yes,Yes,No,No,No,Medium
P0953,No,No,Yes,No,No,Medium
P0954,Yes,Yes,No,No,No,Low
P0955,Yes,Yes,No,Yes,No,Low
P0956,Yes,No,No,No,Yes,High
P0957,No,Yes,Yes,Yes,Yes,High
P0958,No,Yes,No,No,No,Low
P0959,No,No,No,No,No,Low
P0960,Yes,Yes,Yes,Yes,No,Low
P0961,Yes,Yes,Yes,No,No,Low
P0962,Yes,No,Yes,Yes,No,Medium
P0963,No,No,Yes,Yes,No,Low
P0964,No,No,Yes,No,No,Low
P0965,Yes,No,Yes,Yes,No,Medium
P0966,Yes,Yes,Yes,Yes,No,Low
P0967,No,Yes,Yes,No,No,Medium
P0968,Yes,Yes,Yes,Yes,No,Low
P0969,Yes,Yes,Yes,No,No,Medium
P0970,Yes,Yes,No,No,No,Low
P0971,No,Yes,Yes,Yes,Yes,High
P0972,Yes,Yes,Yes,Yes,No,Medium
P0973,No,Yes,No,No,Yes,High
P0974,Yes,Yes,No,No,No,Low
P0975,No,No,Yes,Yes,No,Low
P0976,No,No,No,Yes,No,Low
P0977,No,Yes,Yes,Yes,Yes,High
P0978,No,No,Yes,No,Yes,High
P0979,Yes,Yes,Yes,Yes,No,Low
P0980,No,No,Yes,Yes,Yes,High
P0981,No,No,Yes,No,Yes,High
P0982,Yes,Yes,No,No,No,Low
P0983,No,Yes,No,No,No,Medium
P0984,Yes,Yes,Yes,No,No,Low
P0985,No,Yes,Yes,No,No,Medium
P0986,Yes,No,No,Yes,Yes,High
P0987,No,No,No,No,Yes,High
P0988,No,No,No,No,No,Low
P0989,Yes,No,No,No,No,Low
P0990,No,No,No,Yes,Yes,High
P0991,No,No,No,No,Yes,High
P0992,Yes,Yes,No,No,No,Low
P0993,Yes,Yes,No,Yes,No,Medium
P0994,No,Yes,Yes,Yes,No,Low
P0995,No,No,No,Yes,No,Medium
P0996,No,No,No,No,Yes,High
P0997,Yes,Yes,Yes,No,No,Low
P0998,Yes,No,No,No,No,Low
P0999,Yes,Yes,No,Yes,No,Low
P1000,Yes,Yes,Yes,Yes,No,Low
